,5y_ret,5y_ret_ward,Price,Year,Type,Ward
507,0.06479313036690071,0.5238095238095237,600000.0,2017,S,Walton Central
523,-0.15352945582664201,0.23108592878874257,610000.0,2018,S,Walton Central
539,-0.15322323693556572,0.0440370370370371,563780.0,2019,S,Walton Central
555,-0.03929752066115699,0.11570247933884303,675000.0,2020,S,Walton Central
571,-0.060255028735632266,0.0546875,675000.0,2021,S,Walton Central
667,0.08063684809033878,0.4009009009009008,388750.0,2015,T,Walton Central
683,-0.04886548738319085,0.4214285714285715,497500.0,2016,T,Walton Central
699,0.13695299837925456,0.6369529983792546,505000.0,2017,T,Walton Central
715,0.19152421652421658,0.5861538461538462,515500.0,2018,T,Walton Central
731,-0.15569261100634302,0.06578947368421062,405000.0,2019,T,Walton Central
747,0.04004676995030687,0.22186495176848875,475000.0,2020,T,Walton Central
763,-0.15175195706423283,-0.06331658291457287,466000.0,2021,T,Walton Central
92,0.2578499761567705,0.4937106918238994,475000.0,2015,D,Walton North
108,0.23024453024453018,0.554054054054054,575000.0,2016,D,Walton North
124,-0.10582010582010581,0.2321428571428572,517500.0,2017,D,Walton North
140,-0.09273907311631668,0.17919075144508678,510000.0,2018,D,Walton North
156,0.06785056123303734,0.17021276595744683,550000.0,2019,D,Walton North
172,0.11811972679791083,0.26315789473684204,600000.0,2020,D,Walton North
188,-0.09322108226462311,0.043469565217391315,599995.0,2021,D,Walton North
284,0.1791200657894736,0.4685937499999999,234975.0,2015,F,Walton North
300,0.0710282903938999,0.5358931552587647,230000.0,2016,F,Walton North
316,-0.010246216399367514,0.45922746781115875,255000.0,2017,F,Walton North
332,-0.13147668393782386,0.24352331606217614,240000.0,2018,F,Walton North
348,-0.06298963133640556,0.1812499999999999,236250.0,2019,F,Walton North
364,-0.03831063226439624,0.06373018406213427,249950.0,2020,F,Walton North
380,0.05717952831702244,0.0608695652173914,244000.0,2021,F,Walton North
476,0.265760077707625,0.6450704225352113,438000.0,2015,S,Walton North
492,0.16716285924834184,0.6417391304347826,472000.0,2016,S,Walton North
508,-0.013561847988077469,0.44545454545454555,477000.0,2017,S,Walton North
524,0.055683122847302036,0.4402985074626866,482500.0,2018,S,Walton North
